Player,Team,GP,MPG,FGM,FGA,FG%,THPM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Matthew Hurt,DUKE,24,32.8,6.8,12.3,0.556,2.3,5.2,0.444,2.3,3.2,0.724,1.2,3.2,1.5,4.7,6.1,1.4,0.7,0.7,18.3
Justin Champagnie,PITT,20,34.4,6.7,14.1,0.477,1.1,3.7,0.311,3.5,4.8,0.711,1.5,1.8,3.4,7.7,11.1,1.6,1.2,1.2,18
Buddy Boeheim,SU,25,36.2,6.4,14.9,0.433,3.1,8,0.383,1.8,2.1,0.849,1.6,1.6,0.6,2.1,2.6,2.6,1.3,0,17.8
Moses Wright,GT,25,35.4,7,13.2,0.53,0.5,1.2,0.414,2.9,4.4,0.658,1.6,2.6,3.2,4.9,8,2.3,1.5,1.6,17.4
Isaiah Wong,UM,27,35.4,5.7,13.3,0.431,1.9,5.3,0.347,3.8,4.7,0.803,1.8,1.6,0.8,4,4.8,2.4,1.1,0.5,17.1
Carlik Jones,U of L,19,37.6,5.9,14.8,0.402,0.9,2.9,0.321,3.9,4.8,0.815,2.1,1.8,0.7,4.2,4.9,4.5,1.4,0.1,16.8
Devon Daniels,NCST,12,33.1,6.3,13.2,0.481,1.6,4.6,0.345,2.2,3.4,0.659,2.6,2.1,1,4,5,3.1,1.7,0.2,16.5
Sam Hauser,UVA,25,34.2,5.9,11.7,0.503,2.5,6,0.417,1.7,1.9,0.896,1,1.6,0.8,6,6.8,1.8,0.6,0.4,16
Chris Lykes,UM,2,28.5,4,11,0.364,2.5,5.5,0.455,5,5.5,0.909,1.5,2,0,4,4,5.5,2,0.5,15.5
Jose Alvarado,GT,26,37.1,5.4,10.8,0.504,1.8,4.5,0.39,2.6,3.1,0.838,2,2.3,0.7,2.7,3.5,4.1,2.8,0,15.2
Keve Aluma,VT,22,30.6,5.4,11,0.49,0.9,2.6,0.351,3.5,4.9,0.722,1.9,2.4,2.5,5.4,7.9,2.2,0.7,1.3,15.2
Michael Devoe,GT,26,34.9,5.2,11.5,0.456,2.2,5.6,0.4,2.3,3.1,0.753,2.6,1.7,0.7,3.6,4.3,3.4,1.3,0.3,15
Prentiss Hubb,ND,26,36.8,5.2,13.2,0.392,2.5,7.3,0.342,1.8,2.3,0.78,3.2,1.6,0.7,2.5,3.2,5.8,0.7,0.3,14.6
"Jay Heath, Jr.",BC,19,33.7,5.4,13.2,0.41,2.2,6.3,0.35,1.5,1.9,0.778,2.1,1.7,0.7,2.4,3.1,1.8,0.8,0.1,14.5
Au'Diese Toney,PITT,16,34.9,4.8,10.4,0.464,1.1,3.3,0.34,3.6,5.4,0.667,2.4,2.1,2.3,3.6,5.9,2.3,1.2,0.1,14.4
Xavier Johnson,PITT,18,28.6,4.4,10.4,0.426,1.4,4.3,0.321,3.9,4.9,0.787,3.3,3.1,0.5,2.9,3.4,5.7,1.3,0.2,14.2
Quincy Guerrier,SU,28,32.9,5.2,10.6,0.49,0.8,2.6,0.311,2.4,3.6,0.673,1.1,2.8,2.8,5.7,8.4,0.8,0.8,1.1,13.7
Aamir Simms,CLEM,24,29.7,5.2,9.7,0.532,0.9,2.3,0.4,2.2,2.6,0.825,2.4,2.9,2.5,4,6.4,2.7,0.9,0.7,13.4
Wynston Tabbs,BC,12,27.1,4.4,10.8,0.408,2.2,5.7,0.397,2.2,2.8,0.794,2.7,2.5,0.2,2.4,2.7,1.8,0.4,0.1,13.3
Kameron McGusty,UM,20,33.2,4.9,11,0.445,1.2,3.8,0.32,2.3,2.8,0.821,2.5,1,0.5,3.2,3.8,2.8,1.2,0.1,13.3
Alan Griffin,SU,28,29.2,4.7,10.9,0.431,2,5.6,0.359,1.9,2.1,0.897,2.1,1.9,1.6,4.2,5.8,1.8,1.2,1.6,13.3
Nate Laszewski,ND,26,31.2,4.6,7.8,0.589,1.4,3.2,0.434,2.7,3.8,0.71,1.1,2.1,1.3,6,7.3,0.8,0.5,0.6,13.3
D.J. Steward,DUKE,24,30.8,4.7,11,0.426,1.8,5.2,0.341,1.8,2.2,0.811,2,1.2,1.2,2.8,4,2.4,1.1,0.6,13
Jay Huff,UVA,25,27.1,5.1,8.7,0.585,1.2,3,0.387,1.6,2,0.837,1.3,2.6,1.7,5.4,7.1,1,0.5,2.6,13
Jericole Hellems,NCST,25,31.4,4.8,10.5,0.454,1.2,3.3,0.378,2.2,2.8,0.771,2,2.8,1.4,3.6,5,1.7,1.1,0.2,12.9
Daivien Williamson,WF,22,34.3,4.4,9.7,0.455,1.6,4.3,0.372,2.5,3.2,0.786,2,1.3,0,2.1,2.1,2.5,1.3,0,12.9
David Johnson,U of L,19,35.1,4.7,11.5,0.411,1.7,4.4,0.386,1.5,2.1,0.7,3.2,2.7,0.9,4.9,5.8,3.2,1.1,0.3,12.6
D.J. Funderburk,NCST,21,26.3,4.3,7.7,0.562,0.1,0.7,0.2,3.8,4.8,0.792,1.2,2.4,2.2,3.3,5.6,0.3,0.7,0.5,12.6
Armando Bacot,UNC,29,22.7,4.7,7.5,0.628,0,0,0,2.9,4.3,0.664,1.4,2.2,3.2,4.7,7.8,0.8,0.7,0.9,12.3
Tyrece Radford,VT,18,32.2,4.6,8.3,0.55,0.4,1.3,0.292,2.7,3.6,0.766,1,1.6,1.9,4,5.9,2.1,0.6,0.4,12.2
M.J. Walker,FSU,24,29,4,9.1,0.436,1.8,4.3,0.423,2.5,3.1,0.797,2.6,2.2,0.5,2,2.5,2.5,0.9,0.4,12.2
Raiquan Gray,FSU,25,26.2,4.4,8.4,0.517,0.3,1.2,0.267,2.8,3.7,0.763,2.2,2.6,1.5,4.9,6.4,2.2,1.2,0.7,11.9
Dane Goodwin,ND,26,33.3,4.2,9.8,0.431,1.5,4.2,0.352,1.9,2.2,0.862,1,1.2,0.8,4.3,5.2,1.7,0.5,0.2,11.8
Jordan Usher,GT,26,29.5,4.7,9.3,0.5,0.9,3.2,0.286,1.4,2.1,0.667,2.2,2.8,0.6,3.6,4.2,2.7,1.6,0.7,11.6
Trey Murphy III,UVA,25,29.6,3.8,7.6,0.503,2.1,4.8,0.433,1.5,1.6,0.927,0.8,2,0.6,2.8,3.4,1.2,0.8,0.4,11.3
Jalen Johnson,DUKE,13,21.4,4.4,8.4,0.523,0.6,1.4,0.444,1.8,2.9,0.632,2.5,2.2,1.5,4.5,6.1,2.2,1.2,1.2,11.2
Nahiem Alleyne,VT,22,28.4,3.5,9,0.392,1.9,4.7,0.408,2.1,2.6,0.807,1.5,2.1,0.2,2.5,2.6,1.7,0.7,0.1,11.1
Rich Kelly,BC,16,25.3,3.8,8.9,0.427,2,5.4,0.372,1.4,1.7,0.815,1.9,2.1,0.2,1.4,1.7,2.4,0.9,0.1,11
Tariq Ingraham,WF,2,12.5,4,4.5,0.889,0,0,0,3,3,1,1,3,2.5,0,2.5,0.5,0.5,0,11
Ian DuBose,WF,11,24.5,3.7,8.2,0.456,1.2,3.3,0.361,2.3,3.8,0.595,1.5,2.5,0.6,4,4.6,2.4,1.4,0.2,10.9
Juwan Durham,ND,26,24,4.5,7.5,0.602,0,0.1,0,1.6,2.3,0.7,1,2.2,1.5,4,5.5,1.3,0.7,1.9,10.7
Caleb Love,UNC,29,27.8,3.6,11.3,0.316,1.2,4.4,0.266,2.2,2.7,0.808,3.1,2.1,0.4,2.2,2.6,3.6,1.2,0.3,10.5
Elijah Olaniyi,UM,21,32.6,3.8,9,0.421,1,3.8,0.263,1.9,2.6,0.709,1.8,2,1.2,3.9,5.1,0.9,0.9,0.4,10.5
Scott Barnes,FSU,24,24.7,4.1,8.1,0.503,0.5,1.7,0.275,1.7,2.8,0.621,2.5,2.2,1.5,2.5,4,4.1,1.5,0.5,10.3
Isaiah Mucius,WF,22,25.5,3.7,8.7,0.422,1.2,3.6,0.342,1.7,2.4,0.712,1.5,2.1,1.8,3.4,5.2,0.6,0.5,0.4,10.3
Garrison Brooks,UNC,28,27.9,4,8.5,0.469,0.1,0.3,0.5,2,3.4,0.606,1.6,2.7,2.3,4.6,6.9,1.4,0.7,0.8,10.2
Anthony Polite,FSU,21,26.5,3.6,7.1,0.5,1.6,3.7,0.436,1.3,2,0.667,1.2,2,1.3,3.2,4.5,1.8,1.4,0.4,10.1
Jae'Lyn Withers,U of L,20,25.6,3.9,7.1,0.549,0.4,1.1,0.381,1.8,2.6,0.679,1.2,3.1,2.5,5.1,7.7,0.5,0.9,0.3,10
Cormac Ryan,ND,25,29.4,3.4,8.7,0.387,1.7,5,0.344,1.5,1.8,0.822,1.7,1.9,0.9,3.6,4.4,2.5,1,0.4,9.9
Manny Bates,NCST,24,27.3,4.2,6.5,0.641,0,0,0,1.5,2.1,0.686,1.2,2.6,2.1,3.8,5.9,0.7,0.5,2.7,9.8
Marek Dolezaj,SU,28,35,3.3,6.1,0.544,0,0.1,0,3.1,3.6,0.853,1.7,2.9,1.6,3.6,5.2,3.2,1.1,0.9,9.8
Joseph Girard III,SU,28,27.7,3.3,9.2,0.357,1.8,5.4,0.333,1.4,1.8,0.78,2.1,1.2,0.2,2.7,2.9,3.5,1.4,0.1,9.8
Wendell Moore,DUKE,24,27.7,3.6,8.6,0.417,0.9,3,0.301,1.6,1.9,0.848,2,2.4,1.2,3.5,4.8,2.7,1.2,0.2,9.7
C.J. Felder,BC,19,27.9,3.5,7.7,0.459,1.2,3.7,0.314,1.5,2.4,0.622,1.5,2.6,1.4,4.6,5.9,0.9,1,2.2,9.7
Makai Ashton-Langford,BC,15,26.4,3.4,8.1,0.418,0.8,3.4,0.235,2.1,3.1,0.66,1.7,3.3,0.5,2.9,3.3,3.2,1.7,0.1,9.7
Samuell Williamson,U of L,18,28.7,3.9,8.1,0.479,0.5,2,0.25,1.3,1.9,0.706,1.7,2.3,2.1,6,8.1,1.2,0.3,0.1,9.6
Anthony Walker III,UM,26,26.5,3.5,8.2,0.425,0.6,2.5,0.234,2,2.8,0.712,1.8,2,1.1,3.6,4.7,1,0.7,0.8,9.6
Day'Ron Sharpe,UNC,29,19.2,3.9,7.4,0.519,0,0.1,0,1.8,3.5,0.505,2,2,3.3,4.2,7.6,1.4,0.8,0.9,9.5
Kihei Clark,UVA,25,34,3.4,8.3,0.411,0.8,2.5,0.323,1.9,2.6,0.734,2.1,1.2,0.2,1.8,2,4.5,0.7,0,9.5
Justyn Mutts,VT,22,29.5,3.8,7.4,0.512,0.7,2,0.333,1.2,2.4,0.509,2.3,2.8,1.7,4.7,6.4,2.2,0.6,0.8,9.5
Earl Timberlake,UM,7,27.1,3.1,7,0.449,0.3,1,0.286,2.7,3.9,0.704,3.3,3,1.6,3.4,5,2.4,1.7,0.6,9.3
Jalen Cone,VT,15,19.9,3,8.4,0.357,2.5,7.1,0.349,0.7,0.9,0.846,0.8,1,0.1,0.9,1.1,0.9,0.4,0.1,9.2
Balsa Koprivica,FSU,24,19.5,3.7,6.1,0.599,0,0,1,1.8,2.5,0.689,1.3,2.6,2.1,3.5,5.6,0.8,0.3,1.4,9.1
Steffon Mitchell,BC,16,32.6,3.1,6.6,0.462,0.9,3.2,0.294,2.1,3.2,0.635,1.3,2.2,2,5.2,7.2,1.5,1.4,1,9.1
Al-Amir Dawes,CLEM,24,25.5,3.1,7.4,0.421,1.8,4.5,0.394,1,1.3,0.742,1.6,1.1,0.4,1.7,2,1.9,0.9,0.2,9
Ithiel Horton,PITT,22,26.8,3.3,8.6,0.381,2,5.3,0.371,0.4,0.5,0.75,1.1,1.5,0.4,2,2.3,1.6,0.5,0.1,8.9
Jeremy Roach,DUKE,24,27.4,3.2,7.1,0.456,1.1,3.5,0.313,1.1,1.7,0.675,2,2.7,0.5,1.6,2.1,2.8,0.8,0,8.7
Hunter Cattoor,VT,22,22.3,2.6,5.7,0.456,1.8,4.1,0.433,1.5,2,0.791,1.2,1.5,0.1,1.8,1.9,1.4,0.9,0.5,8.5
R.J. Davis,UNC,29,22.2,2.7,7.8,0.35,1.1,3.4,0.323,1.9,2.3,0.821,1.9,1.5,0.4,1.9,2.3,1.9,0.7,0.1,8.4
Trey Wertz,ND,21,26.2,2.8,7,0.404,1.6,3.7,0.429,1.1,1.3,0.821,1.7,1.8,0.2,2.5,2.7,2.3,0.4,0.1,8.3
Ismael Massoud,WF,22,21.7,2.6,7.7,0.341,1.6,4.9,0.336,1.4,1.9,0.732,1.5,1.8,0.7,2.7,3.4,0.5,0.4,0,8.3
Kerwin Walton,UNC,29,21,2.7,6.1,0.444,2,4.8,0.42,0.7,0.9,0.84,1.2,1,0.3,1.4,1.7,1.8,0.5,0.2,8.2
Nick Honor,CLEM,24,23.3,2.9,7.3,0.392,1.7,4.5,0.367,0.7,1,0.739,1,1.4,0.3,0.9,1.2,2.2,1.3,0,8.1
Cam Hayes,NCST,23,23.6,2.7,6.9,0.384,1.2,3.3,0.364,1.3,1.8,0.732,2,1.6,0.3,2.1,2.4,3.1,1.2,0,7.8
Fred Scott,BC,7,18.1,2.6,6.4,0.4,1.1,2.9,0.4,1.3,2.6,0.5,1.9,2,0.6,3.3,3.9,0.6,0.9,0.3,7.6
Ody Oguama,WF,20,21.9,2.6,5.7,0.465,0,0,0,2.2,3.4,0.672,1.2,2.8,2.4,3,5.4,0.4,0.4,0.3,7.5
Hunter Tyson,CLEM,19,16.8,2.5,5.3,0.465,1.2,2.7,0.431,1.4,1.8,0.771,0.9,1.5,0.6,3.5,4.2,0.3,0.5,0.3,7.5
D'Andre Davis,U of L,20,28.9,2.5,6.4,0.398,0.6,2.4,0.25,1.8,2.4,0.75,1.6,2.5,1.7,1.4,3.1,1.1,0.6,0.3,7.5
Cartier Diarra,VT,4,19.5,2.5,5.8,0.435,0.2,2,0.125,2.2,3.2,0.692,2.2,2.5,1,1.5,2.5,2.2,0,0.2,7.5
Thomas Allen,NCST,17,26.5,2.5,6.9,0.364,1.5,3.9,0.379,0.9,1.1,0.789,1.3,1.4,0.4,2.1,2.5,1.6,1.3,0.1,7.4
Nysier Brooks,UM,27,27.4,2.8,5.4,0.517,0,0.2,0,1.9,2.9,0.641,1.4,2.2,2.4,3.4,5.8,0.8,0.6,1,7.4
Clyde Trapp,CLEM,24,28.8,2.7,6.5,0.419,0.8,2.4,0.351,1,1.6,0.615,2,1.6,0.5,4.8,5.3,2.5,0.6,0.4,7.2
Mark Williams,DUKE,23,15.1,3.1,4.7,0.664,0,0,0,1,1.8,0.537,0.9,1.5,1.9,2.6,4.5,0.7,0.6,1.4,7.1
Braxton Beverly,NCST,23,25.6,2.3,5.3,0.43,1.4,3.5,0.4,1.1,1.6,0.703,1.1,1.7,0.2,1,1.2,2.6,1,0,7
Matt Cross,UM,14,26.4,2.5,5.6,0.449,1.4,3.6,0.4,0.5,0.6,0.875,1.5,1.6,1.1,2.4,3.5,1.4,0.8,0.5,6.9
Nike Sibande,PITT,14,19.7,2.4,5.9,0.415,1.2,2.8,0.436,0.9,1.5,0.571,1.4,1.2,0.8,2.2,3,1.5,0.3,0.1,6.9
Shakeel Moore,NCST,25,18.6,2.7,6.1,0.441,0.8,2.4,0.344,0.6,1.2,0.517,1.7,1.9,0.4,2.1,2.5,1.7,1.4,0.3,6.8
James Karnik,BC,14,19.9,2.6,5.9,0.439,0.3,1.1,0.267,1.4,1.8,0.76,1.2,2.2,2.4,3.1,5.4,0.6,0.4,0.6,6.8
Harlond Beverly,UM,19,28.7,2.7,8.1,0.331,0.4,2.5,0.149,1,2.5,0.404,2.7,1.7,0.3,4.2,4.5,3.3,1.5,0.3,6.7
"DeMarr Langford, Jr.",BC,18,25.6,2.2,5.3,0.411,0.2,0.9,0.235,2.2,2.9,0.75,1.9,1.3,1.5,2.7,4.2,1.4,1.1,0,6.7
Bubba Parham,GT,25,26.8,2.3,5.6,0.41,1.2,3.8,0.33,0.9,1.1,0.815,0.5,2.4,0.6,2.1,2.6,1.4,1,0,6.7
"Femi Odukale, Jr.",PITT,22,20.3,2.3,5,0.464,0.4,1.1,0.333,1.6,3.3,0.493,1.5,1.5,0.5,2.1,2.5,2.2,0.9,0.2,6.6
Jonah Antonio,WF,21,19.5,2,5,0.41,1.8,4.5,0.4,0.5,0.5,0.909,1,1.3,0.2,2.2,2.4,1,0.7,0.2,6.4
Kadary Richmond,SU,28,21,2.2,5,0.453,0.2,0.8,0.333,1.6,2.2,0.721,1.6,1.4,0.6,2,2.6,3.1,1.6,0.5,6.3
Quinn Slazinski,U of L,20,21.1,1.9,4.5,0.433,0.6,2.4,0.234,1.8,2.4,0.745,0.6,1.6,0.9,2.6,3.5,0.6,0.5,0.1,6.2
Malik Osborne,FSU,24,20.2,1.9,4.5,0.422,0.8,2.2,0.365,1.3,1.5,0.838,0.8,2.1,1.4,3.1,4.5,0.3,0.6,0.3,5.9
Jordan Goldwire,DUKE,24,28.6,2.2,5.8,0.379,0.8,2.4,0.333,0.6,0.8,0.737,1.4,2.2,0.8,2.2,3,4,2.2,0.1,5.8
Leaky Black,UNC,29,27.4,2,5.4,0.367,0.3,1.6,0.222,1.2,1.8,0.692,1.3,1.9,1.3,3.6,4.9,2.4,1.2,0.3,5.6
SarDarr Calhoun,FSU,25,14.3,2,4.6,0.422,0.9,2.3,0.397,0.5,0.6,0.857,0.8,0.8,0.3,1.2,1.4,0.6,0.5,0.1,5.3
Karim Coulibaly,PITT,22,22.6,2.1,4.1,0.511,0.1,0.3,0.333,0.9,1.3,0.69,0.7,3.2,1.5,2.4,3.9,0.9,0.7,0.9,5.2
Dereon Seabron,NCST,24,17,2.1,4.3,0.485,0.2,0.8,0.25,0.8,1.4,0.576,1.2,1.1,1.1,2.3,3.4,0.8,0.7,0.3,5.2
John Hughley,PITT,7,14.7,2.1,5.4,0.395,0,0.3,0,0.9,1.4,0.6,1.1,2.4,1.7,2.6,4.3,0.4,0.3,0.1,5.1
Rayquan Evans,FSU,24,19.2,1.5,4.2,0.366,0.4,1,0.36,1.6,1.9,0.848,1.3,1,0.5,1.5,2,1.4,0.5,0.2,5.1
Nikola Djogo,ND,24,19.2,1.7,3.2,0.539,0.8,1.8,0.409,0.9,1,0.875,0.5,1.8,0.6,2.4,3,0.8,0.4,0.5,5
Malik Williams,U of L,3,20.7,2,6.7,0.3,0.7,2.3,0.286,0.3,1.3,0.25,1.3,1,2,4,6,1,0.7,0,5
Jalen Johnson,WF,21,16.3,1.7,4.4,0.376,1,3,0.333,0.6,0.8,0.765,0.6,1.2,0.6,1.8,2.4,0.6,0.4,0.5,5
Khalid Moore,GT,25,23.9,1.6,4.3,0.38,0.5,2.2,0.222,1,1.6,0.634,0.8,1.6,0.6,2.3,3,0.8,0.7,0.5,4.8
Carter Whitt,WF,19,22.4,1.8,5.6,0.327,0.7,2.2,0.333,0.3,0.5,0.667,2.7,1.5,0.2,2,2.2,2.7,0.7,0,4.7
Reece Beekman,UVA,25,29.4,1.7,4.4,0.382,0.4,1.5,0.243,1,1.3,0.758,1.2,1.5,0.2,2.6,2.8,3,1.2,0.4,4.7
Alex Hemenway,CLEM,24,15.7,1.5,3.6,0.419,1,2.6,0.387,0.7,0.8,0.889,0.8,1.4,0,1.3,1.3,0.6,0.4,0.1,4.7
Tomas Woldetensae,UVA,22,13.4,1.5,3.5,0.41,1,2.5,0.418,0.5,0.5,0.909,0.5,0.9,0.1,1.2,1.3,1,0.5,0,4.4
Casey Morsell,UVA,23,14.9,1.8,4.6,0.396,0.4,1.7,0.263,0.3,0.5,0.636,0.6,1,0.3,1.1,1.3,0.6,0.3,0.3,4.4
Walker Kessler,UNC,29,8.8,1.8,3.1,0.578,0,0.1,0.25,0.8,1.4,0.537,0.6,1.2,1.6,1.7,3.2,0.3,0.5,0.9,4.4
Jonathan Baehre,CLEM,24,16.9,1.5,3.8,0.391,0.3,1.2,0.276,1,1.1,0.852,0.7,1.3,1,2.4,3.4,0.8,0.4,0.6,4.3
Wyatt Wilkes,FSU,25,13.7,1.4,3.4,0.407,1,2.5,0.381,0.2,0.2,0.8,0.6,0.8,0.4,1.2,1.6,0.9,0.4,0.3,3.9
Wabissa Bede,VT,22,26,1.5,4.4,0.34,0.5,2.2,0.245,0.4,0.5,0.727,1.4,2.3,0.1,2.2,2.3,3.1,0.9,0.4,3.9
J.J. Traynor,U of L,20,13,1.4,2.8,0.491,0.2,0.5,0.5,0.9,1.4,0.655,0.4,1.1,0.7,1.3,2,0.1,0.1,0.6,3.9
Robert Braswell,SU,24,12.1,1.2,3.3,0.362,0.7,2.4,0.293,0.6,0.8,0.833,0.3,1.2,0.5,1.4,1.9,0.1,0.4,0.3,3.8
Jahcobi Neath,WF,20,15.8,1.2,3.5,0.357,0.3,1.4,0.222,0.9,1.1,0.905,1.8,1.4,0.2,1.6,1.8,1.6,0.5,0.1,3.8
John Newman,CLEM,22,15.5,1.4,4.1,0.341,0.4,1.5,0.25,0.5,0.6,0.923,1.1,1.4,0.5,1.5,2,1.1,0.5,0.1,3.7
Andrew Platek,UNC,29,13.2,1.3,3.2,0.394,0.6,1.9,0.327,0.5,0.6,0.833,0.8,1.1,0.7,0.9,1.7,0.9,0.4,0.2,3.7
Nathanael Jack,FSU,19,7.6,1.2,2.9,0.411,0.9,2.4,0.37,0.3,0.4,0.625,0.5,0.9,0.3,0.5,0.7,0.3,0.2,0.1,3.6
Jaemyn Brakefield,DUKE,22,12.4,1.4,3.5,0.408,0.5,1.6,0.314,0.2,0.5,0.417,0.5,1.2,0.7,1.9,2.5,0.5,0.4,0.4,3.5
Justin McKoy,UVA,19,11.2,1.5,3.1,0.483,0.2,0.5,0.333,0.4,0.5,0.8,0.5,0.9,0.9,2.4,3.3,0.5,0.2,0,3.5
P.J. Hall,CLEM,21,9.9,1.4,2.9,0.492,0.1,0.7,0.133,0.6,0.8,0.75,0.4,1.3,0.7,1.3,2,0.1,0.2,0.2,3.5
Kody Stattmann,UVA,4,8.5,1.8,3,0.583,0,0.5,0,0,0,0,0,0.2,0,1.8,1.8,0.5,0.2,0.2,3.5
Kyle Sturdivant,GT,26,11.9,1.2,2.8,0.432,0.3,0.8,0.364,0.7,0.9,0.783,0.7,1,0.1,0.8,0.9,1,0.2,0.1,3.5
Joe Bamisile,VT,13,9,1.3,3.5,0.37,0.3,1.2,0.25,0.5,0.6,0.875,0.5,0.5,0.4,1.1,1.5,0.3,0.2,0.1,3.5
Woody Newton,SU,11,7.8,1.2,2.5,0.464,0.6,1.6,0.389,0.5,0.7,0.625,0.4,0.8,0.2,1.6,1.8,0.1,0.3,0.3,3.5
Anthony Harris,UNC,16,10.9,1.2,2.7,0.442,0.2,1,0.25,0.6,1.1,0.529,0.7,1.2,0.4,0.6,1,1.2,0.6,0,3.2
Malachi Rice,GT,1,2,1,1,1,0,0,0,1,2,0.5,0,0,0,0,0,1,0,0,3
Tristan Maxwell,GT,1,8,0,2,0,0,2,0,3,3,1,0,0,0,0,0,0,0,0,3
Chase Hunter,CLEM,24,14.1,1.2,3.8,0.311,0.2,1.5,0.143,0.3,0.5,0.667,0.8,1.1,0.2,1,1.2,0.9,0.4,0.1,2.9
Joey Baker,DUKE,23,11.4,1,3.1,0.31,0.7,2.2,0.314,0.3,0.3,0.75,0.8,1,0.3,0.9,1.1,0.4,0.3,0.3,2.9
Josh Nickelberry,U of L,9,12.9,0.9,4,0.222,0.8,3.6,0.219,0.2,0.2,1,0.2,1.1,0.1,0.7,0.8,0.3,0,0,2.8
David N’Guessan,VT,21,9.6,1,1.7,0.583,0,0.1,0,0.6,1.5,0.419,0.4,1.6,0.7,1.6,2.3,0.4,0.3,0.1,2.6
Kamari Williams,BC,15,12.2,0.9,2.7,0.35,0.6,2,0.3,0.1,0.3,0.5,0.6,0.3,0.5,0.7,1.2,0.3,0.2,0.1,2.6
Aidan Igiehon,U of L,5,8.2,1,1.4,0.714,0,0,0,0.6,1.6,0.375,0.2,2.6,0.8,0.8,1.6,0,0.2,0.2,2.6
Kadin Shedrick,UVA,11,7.6,1,1.9,0.524,0,0.1,0,0.5,0.8,0.667,0.5,1.3,1.1,1.1,2.2,0.3,0.2,0.4,2.5
Terrell Brown,PITT,21,11.1,1,2.2,0.435,0,0,0,0.6,1,0.619,0.8,1.8,1.2,1.4,2.7,0.1,0.1,0.8,2.5
Olivier-Maxence Prosper,CLEM,22,9.7,0.8,2.4,0.346,0.1,0.8,0.167,0.7,1,0.682,0.4,1,0.8,1,1.9,0.3,0.2,0.1,2.5
William Jeffress,PITT,16,17,0.8,3.6,0.228,0.2,1.2,0.15,0.6,1,0.625,0.4,1.4,0.9,1.3,2.2,0.7,0.4,0.2,2.4
Tanner Ngom,FSU,23,6.5,0.8,1.4,0.576,0,0.1,0,0.7,0.8,0.895,0.7,1.6,0.3,1.3,1.7,0,0.1,0.6,2.4
Quadry Adams,WF,9,8,0.9,1.8,0.5,0,0,0,0.4,0.9,0.5,0.3,1.2,0.6,0.3,0.9,0.4,0.4,0,2.2
Deng Gak,UM,25,14,1,2.2,0.463,0,0.2,0.25,0.1,0.3,0.429,0.5,1,0.8,2.4,3.1,0.2,0.3,0.6,2.2
Cordell Pemsl,VT,13,9.8,0.8,1.5,0.526,0,0,0,0.5,0.8,0.636,0.5,1.2,0.4,2,2.4,0.4,0,0.1,2.1
Grant Van Beveren,WF,1,4,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2
Jesse Edwards,SU,18,8.9,0.7,1.4,0.462,0,0,0,0.6,0.8,0.714,0.3,1.7,0.9,1.7,2.6,0,0.3,0.4,1.9
Gerald Drumgoole,PITT,9,5.4,0.6,1.8,0.312,0.2,1,0.222,0.6,0.7,0.833,0.6,0.7,0.4,0.3,0.8,0.1,0.1,0.1,1.9
Isaiah Wilkins,WF,17,10.6,0.6,1.8,0.355,0.3,1,0.294,0.3,0.4,0.714,0.4,0.9,0.2,1.5,1.7,0.8,0.7,0.1,1.9
Rodney Howard,GT,19,7.7,0.7,1.3,0.52,0,0,0,0.3,0.4,0.714,0.2,1.5,0.3,1.1,1.4,0.2,0.2,0.4,1.6
Frankie Anselem,SU,4,6.5,0.2,0.2,1,0,0,0,1,1.2,0.8,0.8,1,0.5,0.8,1.2,0,0.2,0.2,1.5
Keenan Worthington,DUKE,2,2,0.5,1,0.5,0,0,0,0.5,1,0.5,0,0,1,0,1,0,0,0,1.5
Bourama Sidibe,SU,2,7.5,0,0,0,0,0,0,1.5,3,0.5,0.5,2,0.5,0,0.5,0,0,0.5,1.5
Parker Fox,CLEM,3,1.7,0.3,0.3,1,0.3,0.3,1,0.3,0.7,0.5,0.3,0,0.3,0,0.3,0,0,0,1.3
Chase Graham,NCST,6,1.8,0.3,1,0.333,0.3,0.8,0.4,0.3,0.3,1,0,0.2,0,0,0,0,0,0,1.3
Quincy Ballard,FSU,18,3.4,0.6,0.8,0.714,0,0,0,0.1,0.4,0.286,0.3,0.7,0.3,0.4,0.7,0.1,0,0.3,1.2
Andrew Kenny,BC,9,4.9,0.4,1.1,0.4,0.3,0.9,0.375,0,0,0,0.3,0.2,0,1.2,1.2,0.3,0.1,0.1,1.2
Onyebuchi Ezeakudo,PITT,9,4.9,0.4,0.6,0.8,0.3,0.3,1,0,0,0,0.4,0.6,0,0.3,0.3,0.6,0.3,0,1.2
Francisco Caffaro,UVA,17,6.8,0.4,0.7,0.5,0,0,0,0.5,0.6,0.8,0.4,0.9,0.5,0.7,1.2,0.1,0,0.1,1.2
Willie Herenton,UM,17,8.8,0.4,2.1,0.2,0.3,1.2,0.238,0.1,0.4,0.143,0.1,0.4,0.2,0.4,0.5,0.2,0.2,0,1.2
Henry Coleman III,DUKE,18,5.3,0.6,1.1,0.5,0,0.1,0,0.1,0.3,0.2,0.3,0.3,0.7,0.7,1.4,0.2,0.2,0.3,1.2
