Player,Team,GP,MPG,FGM,FGA,FG%,THPM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Jalen Cook,LSU,20,7.5,1.1,2.3,0.457,0.3,0.8,0.438,0.7,0.8,0.765,0.5,1.2,0.1,0.7,0.8,0.8,0.8,0,3.1
Khadim Sy,UM,14,11,1.3,3.1,0.409,0.4,1.2,0.294,0.1,0.1,1,0.6,1.1,0.7,1.1,1.9,0.3,0.4,0.3,3.1
Quentin Millora-Brown,VU,19,13.4,1.4,1.9,0.703,0,0,0,0.3,0.9,0.353,0.6,1.6,1.5,1.6,3.2,0.6,0.2,0.3,3.1
Justin Rumph,MSU,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,3
James Rojas,UA,30,11.1,0.9,2.7,0.35,0.2,0.9,0.231,0.8,1.2,0.667,1,2,0.7,1.9,2.6,0.4,0.5,0.2,2.9
Tyrin Lawrence,VU,7,12.7,1.3,2.6,0.5,0,0.9,0,0.3,0.4,0.667,0.7,0.7,0.9,1.4,2.3,1.3,0.6,0,2.9
Chris Moore,AU,25,11.2,1.1,1.9,0.562,0.2,0.6,0.4,0.4,0.8,0.579,0.7,1.1,1.1,0.9,2,0.5,0.3,0.2,2.8
Shareef O'Neal,LSU,10,14.7,0.9,2.4,0.375,0.2,1.1,0.182,0.8,1.6,0.5,0.4,2.2,1.3,3.1,4.4,0,0.5,0.5,2.8
Quinten Post,MSU,31,8.7,1.1,2.6,0.415,0.3,1.3,0.25,0.3,0.5,0.571,0.8,1.2,0.7,1.3,2.1,0.4,0.3,0.5,2.8
Parker Braun,MU,20,9.2,1,1.6,0.606,0.2,0.5,0.4,0.6,0.9,0.611,0.2,0.6,0.5,1,1.5,0.3,0.1,0.7,2.8
Trey Anderson,USC,12,7.6,1.2,1.9,0.609,0.2,0.7,0.25,0.2,0.5,0.5,0.1,0.8,0.8,0.5,1.2,0.3,0.2,0,2.8
Cameron Matthews,MSU,31,16.9,1.1,2.4,0.44,0.2,0.8,0.269,0.3,1,0.312,1.1,1.7,1.2,1.6,2.8,1.2,0.8,0.3,2.7
Kevin Marfo,TAMU,17,12.5,0.8,1.6,0.464,0,0.1,0,1.1,1.6,0.704,0.9,1.5,1.4,2.4,3.7,0.3,0.6,0.4,2.6
K.K. Robinson,U of A,11,8.3,0.8,1.9,0.429,0.5,1.1,0.417,0.5,0.7,0.75,0.5,1.5,0,0.9,0.9,1,0.3,0.1,2.6
Javian Davis-Fleming,MSU,29,11.7,1,2.3,0.418,0.1,0.7,0.158,0.6,1.5,0.395,1,2,1.2,2.1,3.3,0.5,0.3,0.2,2.6
Eric Gaines,LSU,29,13.4,0.6,2.8,0.222,0.2,1,0.172,1.1,1.5,0.727,1.2,1.7,0.4,1.1,1.4,1.2,1,0.2,2.5
Tre-Vaughn Minott,USC,8,9,1.2,2.2,0.556,0,0,0,0,0.2,0,0.4,1.1,1,1.4,2.4,0,0,0.5,2.5
Ques Glover,UF,20,8.3,0.9,2.3,0.391,0.1,0.6,0.25,0.5,0.6,0.909,1,1.1,0.1,0.7,0.8,0.7,0.6,0,2.5
Austin Crowley,UM,27,11.6,1,2.6,0.366,0.3,1.1,0.233,0.2,0.3,0.75,0.8,1.1,0.2,1.3,1.5,0.7,0.4,0.1,2.4
Jaxon Etter,UGA,20,8,0.8,1.4,0.63,0.1,0.3,0.5,0.5,0.6,0.909,0.2,1.1,0.3,0.8,1.1,0.3,0.3,0,2.4
Olivier Nkamhoua,UT,24,7.1,1.1,1.9,0.565,0,0,0,0.2,0.4,0.444,0.2,1,0.5,0.8,1.3,0.2,0.2,0.2,2.3
Andersson Garcia,MSU,11,3.2,1,1.6,0.611,0.2,0.4,0.5,0.1,0.4,0.25,0.3,0.2,0.7,0.4,1.1,0.4,0.4,0.1,2.3
