Player,Team,GP,MPG,FGM,FGA,FG%,THPM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,DRAFT
Deleon Brown,CU,9,21.2,1.3,4.1,0.324,0.7,2.2,0.3,0.8,1.3,0.583,1,1.9,0.2,1,1.2,0.8,0.4,0.1,4.1,0
Jaiden Delaire,SU,31,12.7,1.3,3.8,0.347,0.2,1.1,0.176,0.9,1.5,0.604,0.6,1.4,0.5,1.5,2,0.4,0.2,0.3,3.8,0
Emmanuel Akot,U of A,17,19.3,1.5,3.9,0.394,0.4,1.2,0.286,0.4,0.9,0.4,0.9,1.2,0.5,2.3,2.8,1.1,0.2,0.1,3.8,0
Zach Reichle,OSU,31,19.1,0.9,3.1,0.302,0.8,2.4,0.324,0.8,1.1,0.765,1,1.9,0.4,1.6,2,1.4,0.5,0,3.5,0
Juhwan Harris-Dyson,Cal,30,16,1.4,3.4,0.402,0,0.3,0,0.7,1.3,0.553,1.1,2.6,0.6,1.4,2,1,0.8,0.3,3.4,0
Devonaire Doutrive,U of A,26,11,1.2,2.6,0.456,0.3,0.8,0.45,0.6,1.1,0.571,0.7,1.1,1.2,1.8,3,0.7,0.5,0,3.3,0
Alex Barcello,U of A,30,9.6,1.1,2.8,0.393,0.5,1.6,0.292,0.6,0.7,0.905,0.3,1.3,0.1,0.8,0.9,0.5,0.3,0,3.3,0
Miles Norris,UO,27,10.5,1.3,2.3,0.54,0.2,0.9,0.24,0.5,1,0.5,0.3,1.7,0.5,1.4,1.9,0.1,0.5,0.3,3.3,0
Arinze Chidom,WSU,8,13.8,1.1,3.4,0.333,0.1,0.9,0.143,0.9,1.2,0.7,0.8,1.4,1.1,2.2,3.4,0.8,0.8,0.1,3.2,0
Isaac White,SU,30,8.6,1,2.3,0.426,0.7,1.9,0.393,0.4,0.6,0.667,0.5,0.7,0.2,0.8,1,0.3,0.2,0,3.1,0
Francis Okoro,UO,37,13.5,1.2,2.6,0.469,0,0,0,0.6,1.3,0.469,0.7,1.8,1.3,1.9,3.2,0.2,0.2,0.5,3.1,0
Jonah Geron,UW,1,20,1,7,0.143,1,7,0.143,0,0,0,1,4,0,2,2,1,1,0,3,0
Hameir Wright,UW,32,17.9,0.9,3.3,0.271,0.4,1.8,0.241,0.5,0.8,0.708,1.1,2.8,0.6,1.8,2.3,0.9,0.5,1.4,2.8,0
Novak Topalovic,U of U,31,12.3,1.1,2.2,0.493,0,0,0,0.6,1.1,0.606,0.7,1.5,0.7,2.4,3.1,0.2,0.1,0.6,2.8,0
Grant Anticevich,Cal,27,11.7,1.1,2.7,0.411,0.3,1,0.333,0.1,0.2,0.8,0.6,1.6,0.8,1.4,2.1,0.4,0.3,0.2,2.7,0
Aljaz Kunc,WSU,31,11.6,1,2.2,0.448,0.4,1.1,0.353,0.3,0.4,0.769,0.7,1.5,0.3,1.5,1.8,0.4,0.4,0.3,2.6,0
"Charles Jones, Jr.",U of U,27,11.8,0.9,2.6,0.352,0.5,1.7,0.311,0.3,0.5,0.538,0.7,1,0.1,0.8,0.9,0.7,0.2,0,2.6,0
