Player,Team,GP,MPG,FGM,FGA,FG%,THPM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,DRAFT
Brandon Childress,WF,31,36.4,4.2,11,0.383,2.4,6.5,0.368,3.9,4.9,0.796,2.7,2.4,0.4,3.4,3.8,4,1.5,0,14.7,0
Nik Popovic,BC,28,29.6,5.8,11,0.526,0.4,1.5,0.256,2.5,3.5,0.714,2.1,2.8,2.4,4.8,7.2,1.1,0.5,0.8,14.5,0
John Mooney,ND,33,29.6,5.2,11.3,0.455,1,2.8,0.374,2.7,3.5,0.769,1.3,2,2.9,8.3,11.2,1.3,0.9,0.8,14.1,0
Torin Dorn,NCST,36,28.5,5.8,12.1,0.482,0.6,2.1,0.303,1.8,3,0.589,1.4,1.4,2.2,5,7.2,1.2,1,0.2,14,0
Elijah Hughes,SU,34,32.6,4.6,10.8,0.421,2.6,6.9,0.369,2,2.7,0.742,1.9,2.1,0.7,3.6,4.3,1.5,1.2,0.8,13.7,0
Ty Jerome,UVA,37,34,4.8,11.1,0.435,2.1,5.4,0.399,1.8,2.5,0.736,1.6,1.8,0.5,3.8,4.2,5.5,1.5,0,13.6,1
Cam Reddish,DUKE,36,29.7,4.3,12,0.356,2.5,7.4,0.333,2.4,3.2,0.772,2.7,2.4,0.6,3.1,3.7,1.9,1.6,0.6,13.5,1
T.J. Gibbs,ND,32,36.1,4.3,12.4,0.347,2.1,6.6,0.318,2.7,3.6,0.757,1.2,2,0.4,1.5,1.9,3.4,1.2,0.1,13.4,0
Mfiondu Kabengele,FSU,37,21.6,4.4,8.8,0.502,0.6,1.8,0.369,3.7,4.9,0.761,1.3,2.6,2.1,3.8,5.9,0.3,0.6,1.5,13.2,1
Jordan Chatman,BC,27,35.6,4.1,10.9,0.376,2.1,6.1,0.348,2.9,3.5,0.819,1.5,1.8,0.4,1.8,2.2,2,0.3,0.1,13.2,0
Jaylen Hoard,WF,31,30.2,4.9,10.7,0.458,0.4,1.7,0.226,2.9,4.1,0.717,2.5,2.2,2.6,5,7.6,1.5,0.6,0.6,13.1,0
Ahmed Hill,VT,35,35.3,4.7,10.6,0.443,2.1,5.5,0.391,1.6,2,0.812,1.3,2,0.7,3.2,3.9,1.3,0.8,0.1,13.1,0
Elijah Thomas,CLEM,34,25.6,5.1,8.3,0.612,0,0,0,2.9,4.5,0.638,2.8,3.3,2.5,5.3,7.8,1.4,0.8,2.2,13,0
Jared Wilson-Frame,PITT,32,31.3,4.3,10.6,0.409,3.1,7.8,0.395,0.9,1.2,0.769,1.2,2.3,1.2,3.8,5,1.4,0.5,0.2,12.7,0
Markell Johnson,NCST,33,25.3,4.4,8.9,0.488,2.1,4.9,0.422,1.8,2.4,0.747,2.2,2.1,0.7,1.9,2.6,4.2,1.1,0.2,12.6,0
"Anthony Lawrence, Jr.",UM,32,33.5,4.4,9.7,0.453,1.6,4.6,0.347,2.2,2.8,0.758,2.5,1.9,0.9,5.8,6.7,3.1,1.2,0.7,12.6,0
Jose Alvarado,GT,31,34.2,4.3,10.9,0.392,1.4,5,0.286,2.5,3.4,0.743,2,2.5,0.7,3.2,3.9,3.4,1.8,0.1,12.5,0
OShae Brissett,SU,34,33,4.3,11,0.393,0.9,3.3,0.27,2.9,4.4,0.66,2,2.1,2.2,5.3,7.5,1.8,1,0.8,12.4,0
Chaundee Brown,WF,31,29,4.2,10.2,0.408,1.4,4.3,0.323,2.2,2.6,0.84,1.5,1.8,1.7,3.3,4.9,1.2,0.7,0.2,11.9,0
Dejan Vasiljevic,UM,32,32,3.9,9.8,0.401,2.5,6.9,0.367,1.4,1.5,0.918,0.8,1.6,1,3.5,4.5,1.2,0.7,0,11.8,0
Zach Johnson,UM,32,31,4,10.2,0.391,1,3.6,0.289,2.8,4.3,0.65,2,2,0.4,2.4,2.8,2.4,1.7,0.4,11.8,0
Trey McGowens,PITT,33,27.8,3.4,8.2,0.417,1,3,0.327,3.8,5,0.764,2.4,2.8,0.6,2.6,3.2,1.7,1.9,0.1,11.6,0
C.J. Bryce,NCST,36,27.2,4.3,9.2,0.468,1.1,3.1,0.345,1.9,2.5,0.756,1.5,1.7,1.6,3.1,4.6,1.8,1.1,0.4,11.6,0
Shelton Mitchell,CLEM,32,32.8,3.8,9.9,0.379,1.5,4.6,0.324,2.5,3,0.833,2.2,1,0.4,2.3,2.7,3,1,0,11.5,0
Terance Mann,FSU,37,31.7,4,7.9,0.505,0.8,2.1,0.39,2.6,3.4,0.79,1.8,2.2,2.5,4,6.5,2.5,0.7,0.3,11.4,1
Ebuka Izundu,UM,32,27.5,4.6,7,0.653,0,0.1,0.333,1.7,2.5,0.684,1.4,3.1,3.5,4.9,8.3,1,0.8,1.2,10.9,0
D.J. Harvey,ND,29,25.8,3.6,9.2,0.39,1.2,4,0.299,2.3,3.1,0.747,1.5,1.9,0.8,3.4,4.2,0.7,0.6,0.5,10.7,0
James Banks,GT,31,30.5,4.1,7.3,0.564,0,0,0,2.3,3.3,0.68,2.3,2.9,2.6,5.1,7.8,1.4,0.5,2.5,10.5,0
Christen Cunningham,U of L,33,31.4,3.3,7.1,0.466,0.9,2.6,0.337,2.6,3.4,0.784,2,1.4,0.2,2,2.2,4.8,0.5,0.1,10.1,0
Dwayne Sutton,U of L,34,31.4,3.3,7.7,0.431,1.4,4.1,0.348,1.9,2.6,0.75,1.5,2.4,2.2,4.6,6.9,1.9,0.9,0.3,10,0
Nassir Little,UNC,36,18.2,3.6,7.6,0.478,0.4,1.4,0.269,2.1,2.8,0.77,1.3,1.6,1.6,3,4.6,0.6,0.5,0.5,9.8,1
Michael Devoe,GT,32,32.2,3.2,7.8,0.404,1.3,3.3,0.393,2.1,2.9,0.71,2.2,1.8,0.4,2.9,3.3,2.5,1.4,0.5,9.7,0
Steven Enoch,U of L,34,19.2,3.6,6.8,0.528,0.4,1.1,0.359,1.9,2.3,0.818,1,2.5,1.5,3.7,5.2,0.2,0.2,0.6,9.4,0
Braxton Beverly,NCST,35,29.5,3.1,8.4,0.363,2.2,6.3,0.347,1.1,1.5,0.722,1.2,1.9,0.2,1.4,1.7,2.5,0.9,0,9.4,0
Tre Jones,DUKE,36,34.2,3.7,8.9,0.414,0.8,2.9,0.262,1.3,1.7,0.758,1.5,1.6,0.9,2.9,3.8,5.3,1.9,0.2,9.4,0
Trent Forrest,FSU,37,29.9,3,6.9,0.439,0.2,0.8,0.233,3.1,3.9,0.779,2,1.6,0.8,3.7,4.5,3.7,1.9,0.2,9.3,0
Devon Daniels,NCST,36,23.5,3.6,8.7,0.409,1,3.3,0.311,1.1,1.7,0.661,1.8,2.3,0.8,3.5,4.4,1.6,0.9,0.6,9.3,0
Frank Howard,SU,29,26.9,3,8.3,0.364,1.8,5.2,0.338,1.1,1.4,0.775,2,2.2,0.3,1.6,2,2.9,1.5,0.1,8.9,0
D.J. Funderburk,NCST,36,19.9,3,5.4,0.552,0.2,0.7,0.269,2.6,3.4,0.785,1,2.9,2.1,2.1,4.2,0.4,0.5,1.1,8.8,0
Ty Outlaw,VT,35,29.5,2.8,6.2,0.45,2.3,5,0.454,0.7,1,0.694,0.6,2.3,1,4.3,5.2,0.9,0.5,0.4,8.6,0
Kenny Williams,UNC,36,30,3,7.4,0.399,1.2,4.1,0.295,1.4,1.8,0.797,1.6,1.8,1.1,2.8,3.9,3.5,0.9,0.3,8.6,0
Prentiss Hubb,ND,33,33.5,2.9,8.9,0.324,1.3,5,0.262,1.1,1.6,0.673,1.9,2.1,0.8,2.2,3.1,4,1,0.4,8.1,0
Rex Pflueger,ND,10,30.5,2.3,5.9,0.39,1.4,3.6,0.389,2.1,2.6,0.808,1.6,1.4,0.9,3.8,4.7,4.3,1.7,0.6,8.1,0
Aamir Simms,CLEM,34,26.6,3.1,7,0.441,1.2,3.6,0.331,0.7,0.9,0.75,1.3,2.4,1.5,3.1,4.6,1,0.6,0.7,8.1,0
Garrison Brooks,UNC,36,23,3.2,5.6,0.574,0,0,0,1.5,2.3,0.639,0.8,2.9,2.3,3.4,5.6,1.2,0.6,0.5,7.9,0
Malik Williams,U of L,34,18.2,2.5,6,0.42,0.8,2.6,0.318,1.8,2.6,0.701,0.9,2.5,1.9,4.3,6.1,0.3,0.3,1.1,7.7,0
David Skara,CLEM,33,31.2,2.7,5.8,0.468,1,2.8,0.363,1.2,1.6,0.722,1.2,2.1,1.1,3.1,4.2,1.5,0.7,0.5,7.6,0
M.J. Walker,FSU,35,25.9,2.4,7.1,0.34,1.3,3.8,0.328,1.4,1.8,0.778,1.9,2.6,0.4,1.8,2.2,1.6,0.8,0.2,7.5,0
Au'Diese Toney,PITT,32,25.2,2.5,6.9,0.36,0.5,2.2,0.246,2,3,0.663,1.1,1.9,1.9,3.7,5.6,0.5,0.7,0.1,7.5,0
Mamadi Diakite,UVA,38,21.8,3.2,5.8,0.55,0.1,0.4,0.294,0.9,1.3,0.7,0.9,2.1,1.5,2.9,4.4,0.3,0.4,1.7,7.4,0
Ryan McMahon,U of L,34,19.2,2,5.3,0.376,1.6,4.4,0.353,1.7,1.8,0.95,1.2,1.4,0.1,1,1.1,1.8,0.4,0.1,7.2,0
"Sharone Wright, Jr.",WF,31,22.2,2.7,6.6,0.41,0.6,2,0.317,1,1.8,0.554,1.3,1.9,0.5,1.8,2.4,1,0.4,0,7.1,0
Brandon Alston,GT,26,17.7,2.3,5,0.462,0.8,2.1,0.389,1.6,1.9,0.837,1.4,1.6,0.2,1.5,1.7,1,0.3,0.1,7,0
Nate Laszewski,ND,33,19,2.2,5.7,0.392,1.3,3.9,0.338,1.1,1.5,0.72,0.5,1.7,1.4,2.5,3.9,0.2,0.2,0.4,6.9,0
Buddy Boeheim,SU,32,17.1,2.2,5.9,0.379,1.5,4.2,0.353,0.8,1,0.788,0.8,1.2,0.6,1.1,1.6,1,0.6,0.1,6.8,0
Moses Wright,GT,30,18.4,2.9,6.2,0.468,0.2,0.8,0.208,0.7,1.5,0.489,1.1,1.2,0.8,3,3.8,0.8,0.4,0.6,6.7,0
Abdoulaye Gueye,GT,30,17.3,2.8,5.4,0.519,0.1,0.3,0.222,0.9,1.6,0.596,1.3,2.2,1.2,2.5,3.7,0.8,0.6,0.9,6.6,0
Christ Koumadje,FSU,37,15.6,2.9,4.6,0.627,0,0,0,0.9,1.5,0.582,1.2,2,2,3.6,5.6,0.2,0.2,1.4,6.6,0
Isaiah Mucius,WF,31,21.8,2.3,7.1,0.32,0.6,2.6,0.235,1.4,2.3,0.614,1,1.2,1.3,2.5,3.7,0.7,0.4,0.3,6.5,0
Dane Goodwin,ND,33,24.5,2.1,5.6,0.376,0.7,2.1,0.343,1.4,1.8,0.77,0.8,1.2,1.2,2.1,3.2,1.1,0.4,0.2,6.4,0
David Nichols,FSU,35,17.5,2.2,5.7,0.387,1,3.1,0.318,1,1.4,0.694,1.4,2.2,0.3,1.4,1.7,1.7,0.7,0.1,6.4,0
Olivier Sarr,WF,25,21.7,2.2,4.6,0.474,0.2,0.6,0.25,1.7,2.4,0.705,1.5,2.9,2.3,3.2,5.5,0.5,0.4,1,6.2,0
Clyde Trapp,CLEM,34,24,2,5.1,0.399,0.8,2.5,0.306,1.2,1.8,0.645,1.7,2.1,0.4,2.9,3.4,1.6,0.9,0.2,6,0
Sidy N'dir,PITT,29,20.2,2.1,5.2,0.407,0.5,2.2,0.238,1.2,2,0.614,1.2,1.3,0.5,1.6,2.1,1.9,0.8,0.4,5.9,0
Torry Johnson,WF,26,21.7,1.6,4.3,0.372,0.5,1.6,0.341,2.1,2.7,0.775,1.7,2,0.2,1.6,1.8,1.4,0.6,0,5.9,0
Malik Ellison,PITT,31,21,2.2,5,0.445,0.1,0.5,0.188,1.3,2.4,0.541,1.6,2.2,1.2,2.6,3.8,1.2,0.6,0.3,5.8,0
Juwan Durham,ND,27,15.3,2.3,3.9,0.575,0,0,0,1.2,1.7,0.696,0.7,2.1,1.4,2.5,3.9,0.4,0.4,2.3,5.7,0
Terrell Brown,PITT,33,19,2.1,4.7,0.436,0.1,0.4,0.231,1.5,2.2,0.658,1.1,2.1,1.7,2.9,4.5,0.2,0.2,1.8,5.7,0
Braxton Key,UVA,38,19.8,1.9,4.5,0.433,0.5,1.6,0.305,1.3,1.8,0.731,0.7,1.7,1.3,3.9,5.3,1,0.9,0.6,5.7,0
Curtis Haywood II,GT,29,21.7,1.9,5.4,0.357,1.1,4,0.276,0.7,0.9,0.76,1.4,1.4,0.2,2.4,2.7,2,1.2,0.1,5.6,0
Jairus Hamilton,BC,30,20.9,2,4.9,0.401,0.7,2.2,0.299,1,1.5,0.644,1.7,2,1.1,2.9,4,0.8,0.3,0.2,5.6,0
Darius Perry,U of L,33,16.3,1.8,4,0.447,0.8,2.2,0.375,1,1.3,0.81,1.2,2,0.2,1.2,1.4,1.5,0.4,0,5.4,0
Sam Waardenburg,UM,32,24.9,1.8,4.2,0.418,0.6,1.7,0.352,1.2,1.6,0.75,1.2,2.2,1.1,2.4,3.5,1.2,0.5,0.3,5.3,0
Marques Bolden,DUKE,35,19,1.9,3.3,0.579,0,0.2,0,1.5,2.1,0.726,0.7,2.1,1.9,2.5,4.5,0.5,0.5,1.7,5.3,0
Wyatt Walker,NCST,36,17.9,1.9,3.2,0.581,0.1,0.1,0.4,0.9,1.4,0.667,1.1,3,1.8,2.6,4.5,0.8,0.4,0.9,4.8,0
Steffon Mitchell,BC,27,29.1,1.1,2.7,0.425,0,0.7,0.056,2.3,4,0.565,0.8,2.3,2.8,5.1,7.9,2.3,1.1,1.2,4.6,0
Kihei Clark,UVA,38,26.8,1.4,4.1,0.35,0.8,2.2,0.341,0.9,1.1,0.825,1,1.4,0.4,1.9,2.3,2.6,0.7,0,4.5,0
Paschal Chukwu,SU,33,20.1,1.5,2.1,0.721,0,0,0,1.4,2.2,0.639,0.9,3,2.5,2.9,5.4,0.2,0.7,1.7,4.4,0
Khalid Moore,GT,31,16.4,1.3,2.7,0.476,0.2,0.7,0.318,1.4,2.1,0.656,0.7,1.7,0.2,1.3,1.5,1.2,0.4,0.1,4.2,0
"Chris Herren, Jr.",BC,31,15.6,1.5,4.2,0.359,0.8,2.6,0.321,0.3,0.6,0.5,0.8,1.5,0.5,1.1,1.7,0.6,0.4,0.1,4.2,0
Marek Dolezaj,SU,34,21.7,1.5,2.7,0.559,0.3,0.9,0.379,0.8,1.3,0.591,1.1,2.8,1.1,2.4,3.5,1.6,1.3,0.5,4.1,0
Jack White,DUKE,35,20.5,1.3,3.7,0.359,0.8,2.8,0.278,0.7,0.8,0.852,0.7,1.8,1.3,3.4,4.7,0.7,0.6,1.1,4.1,0
Kene Chukwuka,PITT,32,18.2,1.5,2.8,0.534,0.2,0.7,0.217,0.8,1.1,0.735,0.6,2.5,1.4,2.1,3.5,0.4,0.3,0.6,3.9,0
Javin DeLaurier,DUKE,38,16.3,1.6,2.1,0.747,0,0,0,0.7,1.3,0.56,0.8,2.7,1.7,2.6,4.4,0.4,0.9,1.3,3.8,0
Wabissa Bede,VT,35,25.3,1.5,3.6,0.402,0.7,1.9,0.354,0.2,0.4,0.538,1.1,1.7,0.2,2.2,2.5,2.3,1.1,0.1,3.8,0
Jack Salt,UVA,37,16.6,1.5,2.5,0.602,0,0,0,0.6,1.3,0.511,0.6,2.2,1.5,2.2,3.7,0.4,0.3,0.3,3.7,0
Khwan Fore,U of L,34,19.2,1.3,3.6,0.355,0.4,1.1,0.316,0.4,0.6,0.591,0.8,1.4,0.2,1.1,1.3,1.2,0.6,0,3.3,0
Anthony Mack,UM,28,15.4,0.9,3.1,0.295,0.6,2.3,0.277,0.1,0.1,0.75,0.5,1,0.2,0.8,1,0.7,0.4,0.1,2.6,0
Carsen Edwards,PU,36,35.4,7.7,19.5,0.394,3.8,10.6,0.355,5.1,6.1,0.837,3.1,2,0.4,3.2,3.6,2.9,1.3,0.3,24.3,1
Lamar Stevens,PSU,32,36.9,7.2,17,0.422,0.6,2.8,0.22,4.9,6.4,0.77,2.8,2.6,1.7,6,7.7,2.1,0.7,0.8,19.9,0
"James Palmer, Jr.",UNL,36,35.1,5.9,16.1,0.369,1.9,5.9,0.313,6,7.8,0.762,2.1,2.2,1.1,3.1,4.2,3,1.4,0.4,19.7,0
Cassius Winston,MSU,39,33.5,6.2,13.5,0.46,2.2,5.4,0.398,4.2,5,0.84,2.9,1.9,0.3,2.7,3,7.5,1,0.1,18.8,0
Ethan Happ,UW,34,32,7.6,14.3,0.53,0,0.1,0,2.2,4.7,0.466,3.1,2.6,2.3,7.8,10.1,4.5,1.1,1.3,17.3,0
Amir Coffey,U of M,36,35.2,5.5,12.6,0.436,1.1,3.8,0.304,4.5,6.1,0.74,2.3,1.5,0.7,2.9,3.6,3.2,0.9,0.2,16.6,0
Romeo Langford,IU,32,34.1,5.5,12.3,0.448,1.1,3.9,0.272,4.4,6.1,0.722,2.1,1.9,1.4,4,5.4,2.3,0.8,0.8,16.5,1
Anthony Cowan,UMD,34,34.6,4.9,12.6,0.393,2.1,6.1,0.337,3.7,4.6,0.806,2.8,2.3,0.4,3.3,3.7,4.4,0.9,0.2,15.6,0
Juwan Morgan,IU,35,29.8,6.1,11,0.558,0.7,2.5,0.295,2.5,3.9,0.647,1.9,2.9,2.5,5.7,8.2,1.9,1.2,1.5,15.5,0
Vic Law,NU,30,33.4,5,12.7,0.396,1.9,5.6,0.335,3.1,3.9,0.786,2.2,2.9,1,5.3,6.4,3,1,1,15,0
Ignas Brazdeikis,UM,37,29.6,5.1,11,0.462,1.5,3.9,0.392,3.1,4.1,0.773,1.2,2.1,1.2,4.3,5.4,0.8,0.7,0.5,14.8,1
Kaleb Wesson,OSU,32,25.9,4.9,9.8,0.5,0.8,2.3,0.347,4.1,5.5,0.734,2.3,3.2,2.4,4.5,6.9,1.8,1,0.7,14.6,0
Tyler Cook,UI,33,30.8,5.3,10.3,0.51,0,0.2,0,3.9,6.1,0.644,2.8,2.3,2.2,5.5,7.6,2.4,0.7,0.5,14.5,0
Jordan Murphy,U of M,36,31.1,4.8,9.9,0.487,0.2,0.8,0.267,4.6,6.7,0.683,2.2,2.8,3.3,7.8,11,2.6,0.6,0.8,14.4,0
Dererk Pardon,NU,32,33.1,5.4,9.5,0.571,0.2,0.9,0.214,3,4.3,0.683,1.4,2.7,3,4.8,7.8,1.8,0.8,0.9,14,0
Ayo Dosunmu,U of I,32,31.2,5.1,11.7,0.436,1.6,4.4,0.352,2.1,3,0.695,2.2,2,0.7,3.3,4,3.2,1.2,0.2,13.8,0
Eugene Omoruyi,RU,28,29.2,5,11.3,0.445,0.5,1.6,0.311,3.2,4.5,0.714,2.5,3,2.3,4.9,7.2,2.4,0.7,0.2,13.8,0
Trent Frazier,U of I,32,30.5,4.6,11.2,0.411,2.5,6.2,0.406,2,2.6,0.759,2,2.3,0.3,2,2.3,2.6,1.4,0,13.7,0
Glynn Watson,UNL,36,34.4,4.9,11.9,0.414,2.3,5.9,0.383,1.5,1.9,0.791,1.4,2.5,0.4,3.7,4.1,3.1,1.1,0.1,13.6,0
Bruno Fernando,UMD,34,30,5.1,8.4,0.607,0.1,0.3,0.3,3.3,4.3,0.779,2.8,2.7,2.9,7.7,10.6,2,0.6,1.9,13.6,1
Luka Garza,UI,32,23.7,4.9,9.2,0.531,0.7,2.2,0.292,2.7,3.3,0.804,1.3,2.3,1.8,2.7,4.5,0.9,0.3,0.5,13.1,0
Nick Ward,MSU,34,20.8,4.8,8.3,0.58,0.1,0.1,1,3.3,5,0.653,2,2.5,1.7,4.3,6.1,0.7,0.3,1.2,12.9,0
Jordan Poole,UM,37,33.1,4.4,10,0.436,2,5.5,0.369,2,2.4,0.833,1.5,2,0.2,2.8,3,2.2,1.1,0.2,12.8,1
Giorgi Bezhanishvili,U of I,33,26.1,5.1,9.5,0.542,0.2,0.9,0.167,2.2,3.3,0.657,2.4,3.8,2.3,2.9,5.2,0.8,0.7,0.8,12.5,0
Charles Matthews,UM,34,31.5,4.5,10.4,0.431,0.9,2.9,0.299,2.4,3.6,0.645,1.7,1.8,1.5,3.5,5,1.4,1.1,0.5,12.2,0
Geo Baker,RU,31,34,4.2,11.7,0.354,1.9,5.7,0.341,1.9,2.6,0.741,3,1.9,0.2,2.9,3.1,4.1,1.6,0.5,12.2,0
C.J. Jackson,OSU,34,30.7,4,9.9,0.407,1.8,4.9,0.369,2.1,2.8,0.768,2.2,1.9,0.5,3.5,4,3.5,1.2,0.2,12,0
Ryan Cline,PU,36,33.8,4.1,9.8,0.423,3.1,7.4,0.417,0.6,0.9,0.697,1.2,1.6,0.2,2.7,2.9,3.3,0.6,0.1,12,0
Isaiah Roby,UNL,35,31.3,4.2,9.3,0.454,0.8,2.4,0.333,2.6,3.8,0.677,2,3.2,1.9,5,6.9,1.9,1.3,1.9,11.8,1
Jalen Smith,UMD,33,26.7,4.4,8.9,0.492,0.6,2.2,0.268,2.3,3.5,0.658,1.2,2,2.7,4.1,6.8,0.9,0.4,1.2,11.7,0
Jordan Bohannon,UI,35,31,3.2,8.4,0.381,2.3,5.9,0.383,2.9,3.3,0.872,1.7,1.7,0.3,2.1,2.4,3.4,0.7,0,11.6,0
Rasir Bolton,PSU,32,26.9,3.5,9.2,0.383,1.6,4.5,0.361,2.9,3.3,0.876,2.6,1.9,0.6,1.4,2,1.5,0.6,0.1,11.6,0
D'Mitrik Trice,UW,34,32.5,3.9,10.2,0.384,2.2,5.7,0.39,1.5,2,0.75,1.3,1.9,0.2,2.6,2.8,2.6,0.9,0,11.6,0
Joe Wieskamp,UI,35,27.7,3.6,7.3,0.488,1.7,4,0.424,2.3,2.9,0.767,1.1,1.9,1.4,3.5,4.9,1.1,0.9,0.5,11.1,0
Daniel Oturu,U of M,35,23.8,4.3,7.9,0.551,0,0.1,0.5,2.1,3.3,0.615,1.5,2.7,2.5,4.5,7,0.5,0.5,1.3,10.8,0
Josh Reaves,PSU,32,33,3.9,9.2,0.426,1.5,4.1,0.356,1.2,1.9,0.656,2.5,3.1,1.6,3.4,5,2.9,2.5,1,10.6,0
Brad Davison,UW,34,32.3,3.4,8.8,0.385,1.5,4.4,0.349,2.2,2.8,0.809,1,2.3,0.3,3,3.3,1.8,1.1,0.1,10.5,0
Gabe Kalscheur,U of M,36,30.8,3.3,7.9,0.417,2.1,5.2,0.41,1.3,1.8,0.75,1,2.7,0.6,1.4,2,1.1,0.8,0.3,10,0
"Xavier Tillman, Sr.",MSU,39,24,3.7,6.1,0.605,0.2,0.7,0.296,2.4,3.3,0.732,1.5,2.8,2.5,4.8,7.3,1.6,0.9,1.7,10,0
Matt McQuaid,MSU,36,31.4,3.2,7.5,0.432,2,4.8,0.422,1.3,1.6,0.81,1,2.1,0.7,2.3,3,2.1,0.6,0.1,9.8,0
Ryan Taylor,NU,31,27,3.3,9.4,0.353,1.9,5.8,0.333,1.2,1.3,0.902,0.7,2.4,0.3,1.5,1.9,1.1,0.7,0.3,9.8,0
Jon Teske,UM,37,27.9,3.7,7.1,0.521,0.6,2.1,0.299,1.5,2.5,0.593,0.5,2.2,2,5,7,0.9,0.7,2,9.5,0
Devonte Green,IU,28,25.2,3.1,7.8,0.402,1.7,4.2,0.41,1.4,1.9,0.736,2.2,1.4,0.2,3.2,3.4,3,1.4,0.5,9.4,0
Matt Haarms,PU,36,22.8,3.7,5.8,0.632,0.2,0.7,0.28,1.8,2.6,0.695,1.2,2.5,1.8,3.6,5.4,1.1,0.2,2.1,9.4,0
Isaiah Moss,UI,35,24.2,3.1,7.9,0.399,1.4,3.3,0.421,1.5,1.9,0.791,1.4,1.6,0.6,2.2,2.9,1.8,0.9,0.2,9.2,0
Dupree McBrayer,U of M,35,31.9,2.9,8.2,0.351,1.2,4.3,0.28,1.9,2.8,0.694,1.2,1.8,0.3,1.9,2.2,3,1,0.1,8.9,0
Zavier Simpson,UM,37,33.9,3.5,8,0.434,0.9,2.8,0.308,1,1.5,0.667,2,1.9,0.5,4.5,5,6.6,1.4,0.1,8.8,0
Thomas Allen,UNL,29,30.2,3.3,7.6,0.436,1.2,3.4,0.364,0.9,1,0.862,1,1,0.3,2.4,2.8,2,1.3,0.2,8.7,0
A.J. Turner,NU,32,29.9,2.9,7.5,0.389,1.2,3.7,0.328,1.7,2.1,0.779,1.9,2,0.2,2.2,2.3,2.8,0.6,0.3,8.7,0
Eric Ayala,UMD,34,29,2.8,6.6,0.43,1.5,3.8,0.406,1.4,1.8,0.774,1.6,1.4,0.3,2.6,2.9,2.1,0.3,0.3,8.6,0
Andre Wesson,OSU,35,29.9,2.9,6.8,0.43,1.1,3.1,0.336,1.7,2.3,0.747,1.8,2.9,1.3,2.8,4.1,1.8,0.6,0.4,8.6,0
Montez Mathis,RU,31,22.9,3.1,8.2,0.376,0.5,2.2,0.239,1.8,3.2,0.556,1.3,1.8,0.7,2.2,2.9,1.1,0.7,0.2,8.5,0
